datetime,dep,tx_incidence,tx_positivite,taux_occupation_sae
2021-09-03,07,130.3,2.52,36.9
2021-09-03,91,147.0,2.56,38.1
2021-09-03,32,83.1,2.02,63.7
2021-09-03,43,97.8,2.14,36.9
2021-09-03,28,98.5,2.6,28.9
2021-09-03,78,140.8,2.66,38.1
2021-09-03,87,57.2,1.59,38.8
2021-09-03,53,61.6,1.68,21.0
2021-09-03,2B,158.6,2.0,61.1
2021-09-03,33,111.8,2.14,38.8
2021-09-03,14,57.7,1.38,26.7
2021-09-03,61,55.6,1.6,26.7
2021-09-03,16,71.5,1.82,38.8
2021-09-03,68,185.9,2.85,21.3
2021-09-03,36,77.8,2.28,28.9
2021-09-03,70,69.5,1.84,21.2
2021-09-03,972,440.7,9.49,634.6
2021-09-03,49,81.6,2.13,21.0
2021-09-03,48,82.6,1.94,63.7
2021-09-03,59,125.9,2.49,34.5
2021-09-03,21,81.8,2.01,21.2
2021-09-03,974,159.2,3.07,57.7
2021-09-03,46,123.6,2.29,63.7
2021-09-03,92,135.6,2.09,38.1
2021-09-03,06,246.0,2.44,76.1
2021-09-03,27,74.6,2.09,26.7
2021-09-03,38,133.0,2.98,36.9
2021-09-03,05,185.5,3.27,76.1
2021-09-03,93,191.3,2.38,38.1
2021-09-03,74,159.5,2.84,36.9
2021-09-03,52,64.4,1.58,21.3
2021-09-03,34,232.7,3.06,63.7
2021-09-03,12,111.0,2.18,63.7
2021-09-03,56,86.7,2.12,28.4
2021-09-03,01,109.3,2.73,36.9
2021-09-03,51,87.8,2.03,21.3
2021-09-03,47,106.9,2.01,38.8
2021-09-03,41,80.5,2.23,28.9
2021-09-03,64,105.2,1.97,38.8
2021-09-03,24,94.3,2.14,38.8
2021-09-03,67,131.4,2.13,21.3
2021-09-03,22,108.0,2.69,28.4
2021-09-03,44,92.6,2.04,21.0
2021-09-03,19,59.5,1.45,38.8
2021-09-03,86,64.7,1.65,38.8
2021-09-03,11,160.7,2.56,63.7
2021-09-03,39,102.0,2.27,21.2
2021-09-03,02,60.4,1.73,34.5
2021-09-03,80,48.8,1.51,34.5
2021-09-03,65,142.0,2.58,63.7
2021-09-03,62,70.3,1.73,34.5
2021-09-03,66,145.9,2.1,63.7
2021-09-03,55,69.4,1.73,21.3
2021-09-03,82,146.6,2.51,63.7
2021-09-03,37,69.0,1.78,28.9
2021-09-03,26,137.4,2.69,36.9
2021-09-03,31,132.3,2.11,63.7
2021-09-03,84,280.8,3.59,76.1
2021-09-03,90,147.7,2.89,21.2
2021-09-03,08,81.0,2.17,21.3
2021-09-03,42,122.4,2.44,36.9
2021-09-03,89,83.4,2.02,21.2
2021-09-03,23,37.8,1.2,38.8
2021-09-03,18,92.1,2.52,28.9
2021-09-03,57,134.4,2.4,21.3
2021-09-03,2A,122.5,1.29,61.1
2021-09-03,29,64.4,1.53,28.4
2021-09-03,15,42.7,1.1,36.9
2021-09-03,04,224.0,3.27,76.1
2021-09-03,85,76.3,1.7,21.0
